,0
364,15.0
365,4437.0
366,3032.0
367,4999.0
368,1990.0
369,2292.0
370,4383.0
371,2939.0
372,118.0
373,3143.0
374,4987.0
375,3575.0
376,4555.0
377,4113.0
378,4862.0
379,373.0
380,3828.0
381,2547.0
382,4129.0
383,3444.0
384,2562.0
385,3944.0
386,1930.0
387,78.0
388,1264.0
389,4358.0
390,1904.0
391,3237.0
392,1380.0
393,2686.0
394,1830.0
395,1872.0
396,3343.0
397,1299.0
398,1499.0
399,3293.0
400,3593.0
401,397.0
402,3127.0
403,3984.0
404,4887.0
405,4681.0
406,2027.0
407,3199.0
408,952.0
409,4360.0
410,3239.0
411,2643.0
412,2136.0
413,3416.0
414,431.0
415,1476.0
416,4161.0
417,1912.0
418,1379.0
419,777.0
420,3202.0
421,2958.0
422,3434.0
423,2189.0
424,2372.0
425,917.0
426,1638.0
427,3436.0
428,1861.0
429,4814.0
430,3421.0
431,2223.0
432,1996.0
433,2347.0
434,1274.0
435,192.0
436,4016.0
437,2631.0
438,2960.0
439,1942.0
440,1171.0
441,303.0
442,2444.0
443,3413.0
444,4154.0
445,1082.0
446,973.0
447,4429.0
448,1610.0
449,2498.0
450,2781.0
451,406.0
452,627.0
453,3410.0
454,2281.0
455,3509.0
456,123.0
457,1245.0
458,2697.0
459,3899.0
460,3098.0
461,2689.0
462,746.0
463,2357.0
464,722.0
465,4354.0
466,2128.0
467,823.0
468,4847.0
469,3636.0
470,2705.0
471,3247.0
472,935.0
473,4314.0
474,499.0
475,1158.0
476,3003.0
477,1202.0
478,4979.0
479,3624.0
480,3665.0
481,2257.0
482,1799.0
483,4367.0
484,2832.0
485,4256.0
486,3840.0
487,4436.0
488,4002.0
489,3001.0
490,3778.0
491,1315.0
492,3282.0
493,194.0
494,3617.0
495,3486.0
496,1839.0
497,4484.0
498,765.0
499,576.0
500,3890.0
501,1176.0
502,2852.0
503,33.0
504,794.0
505,1790.0
506,4025.0
507,3312.0
508,3177.0
509,872.0
510,4097.0
511,1983.0
512,4149.0
513,3534.0
514,4408.0
515,2991.0
516,42.0
517,2036.0
518,4573.0
519,2238.0
520,3977.0
521,1762.0
522,1293.0
523,1721.0
524,3862.0
525,1162.0
526,2807.0
527,2885.0
528,4391.0
529,3869.0
530,493.0
531,4059.0
532,2587.0
533,2085.0
534,3511.0
535,119.0
536,943.0
537,792.0
538,1733.0
539,586.0
540,4133.0
541,3735.0
542,1704.0
543,185.0
544,957.0
545,3096.0
546,2224.0
547,3401.0
548,4871.0
549,798.0
550,2933.0
551,1124.0
552,3331.0
553,3330.0
554,2538.0
555,1588.0
556,1022.0
557,640.0
558,728.0
559,2921.0
560,2591.0
561,4246.0
562,915.0
563,345.0
564,1660.0
565,2217.0
566,2588.0
567,2666.0
568,277.0
569,4104.0
570,2919.0
571,22.0
572,4252.0
573,774.0
574,860.0
575,4315.0
576,635.0
577,2769.0
578,75.0
579,1163.0
580,3669.0
581,3353.0
582,1020.0
583,3514.0
584,4310.0
585,2677.0
586,2955.0
587,4148.0
588,2322.0
589,200.0
590,1378.0
591,222.0
592,4214.0
593,2738.0
594,4519.0
595,313.0
596,3204.0
597,496.0
598,1121.0
599,3587.0
600,3080.0
601,4732.0
602,3826.0
603,2844.0
604,4037.0
605,2453.0
606,3685.0
607,2534.0
608,4273.0
609,3114.0
610,1611.0
611,2793.0
612,2422.0
613,1008.0
614,363.0
615,1410.0
616,3227.0
617,3622.0
618,4121.0
619,4945.0
620,2585.0
621,1089.0
622,1731.0
623,2443.0
624,3973.0
625,4702.0
626,3135.0
627,1954.0
628,104.0
629,249.0
630,1115.0
631,3215.0
632,959.0
633,3403.0
634,3986.0
635,1093.0
636,999.0
637,3686.0
638,867.0
639,2521.0
640,2909.0
641,4905.0
642,687.0
643,2046.0
644,3898.0
645,1117.0
646,1647.0
647,4328.0
648,1325.0
649,4672.0
650,3390.0
651,96.0
652,4626.0
653,2862.0
654,3947.0
655,1955.0
656,3310.0
657,3784.0
658,2216.0
659,2778.0
660,3760.0
661,2280.0
662,3900.0
663,3730.0
664,1126.0
665,3479.0
666,290.0
667,2463.0
668,1855.0
669,4368.0
670,2683.0
671,1553.0
672,483.0
673,4796.0
674,1191.0
675,1889.0
676,1320.0
677,1686.0
678,214.0
679,3694.0
680,251.0
681,3305.0
682,452.0
683,1789.0
684,852.0
685,1367.0
686,1897.0
687,278.0
688,99.0
689,2060.0
690,2719.0
691,1330.0
692,2227.0
693,1933.0
694,3861.0
695,1496.0
696,4279.0
697,1372.0
698,3614.0
699,351.0
700,786.0
701,2601.0
702,4684.0
703,3539.0
704,4449.0
705,3364.0
706,2571.0
707,4275.0
708,3594.0
709,4969.0
710,1150.0
711,3140.0
712,1159.0
713,2863.0
714,2577.0
715,529.0
716,2342.0
717,1048.0
718,1220.0
719,1661.0
720,1268.0
721,4797.0
722,2215.0
723,160.0
724,3013.0
725,770.0
726,1344.0
727,4.0
728,1413.0
729,3418.0
730,2264.0
731,116.0
732,4011.0
733,1331.0
734,1103.0
735,3997.0
736,3687.0
737,2284.0
738,4903.0
739,230.0
740,4417.0
741,3220.0
742,3351.0
743,4373.0
744,3667.0
745,3484.0
746,340.0
747,2776.0
748,655.0
749,4418.0
750,4832.0
751,1056.0
752,3370.0
753,1099.0
754,175.0
755,4331.0
756,2762.0
757,4045.0
758,374.0
759,1420.0
760,3166.0
761,4988.0
762,1095.0
763,991.0
764,2338.0
765,3674.0
766,2230.0
767,987.0
768,3254.0
769,1735.0
770,582.0
771,2575.0
772,944.0
773,4126.0
774,92.0
775,1587.0
776,1548.0
777,4254.0
778,854.0
779,4177.0
780,1557.0
781,559.0
782,736.0
783,2153.0
784,1249.0
785,266.0
786,3308.0
787,3664.0
788,4263.0
789,2808.0
790,2918.0
791,2363.0
792,410.0
793,2424.0
794,1918.0
795,803.0
796,208.0
797,3186.0
798,4746.0
799,3821.0
800,3395.0
801,3493.0
802,204.0
803,2366.0
804,211.0
805,2237.0
806,1286.0
807,948.0
808,2152.0
809,4280.0
810,3958.0
811,2748.0
812,2088.0
813,1453.0
814,4973.0
815,3500.0
816,4398.0
817,2291.0
818,4178.0
819,4050.0
820,4857.0
821,3936.0
822,3549.0
823,3460.0
824,829.0
825,1741.0
826,207.0
827,3655.0
828,3880.0
829,3843.0
830,3744.0
831,2635.0
832,4858.0
833,2768.0
834,2994.0
835,2922.0
836,447.0
837,2481.0
838,1905.0
839,3039.0
840,244.0
841,3598.0
842,3817.0
843,3576.0
844,1560.0
845,4014.0
846,3472.0
847,3747.0
848,1630.0
849,4839.0
850,2860.0
851,2485.0
852,4885.0
853,122.0
854,1319.0
855,4308.0
856,4716.0
857,3582.0
858,3233.0
859,2838.0
860,921.0
861,875.0
862,4231.0
863,3620.0
864,4720.0
865,4811.0
866,3290.0
867,2864.0
868,1805.0
869,4478.0
870,4268.0
871,2200.0
872,3313.0
873,790.0
874,3163.0
875,2275.0
876,2411.0
877,246.0
878,930.0
879,4228.0
880,734.0
881,4593.0
882,1106.0
883,1788.0
884,1068.0
885,533.0
886,4527.0
887,3697.0
888,2827.0
889,1212.0
890,626.0
891,2567.0
892,3942.0
893,4683.0
894,3844.0
895,1956.0
896,405.0
897,657.0
898,2537.0
899,1136.0
